Step,Action,Reasoning,Observation,Reward,Done
0,northwest,,"message:


language observation:
dark area far north
boulder far westnorthwest
dark area near northeast, east, and northwest
water floor very near northeast and east
dark area very near southeast, south, and southwest
boulder very near northwest
stairs up adjacent southeast
boulder adjacent northwest

cursor:
Yourself a knight
(x=42, y=13)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                           ........    .....}                                   
                              .......   ....}                                   
                          .     ......   ...}                                   
                          .....  `..... `...}                                   
                          ...............`..}                                   
                          ................@.}                                   
                          .................<}                                   
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Gallant              St:16 Dx:9 Co:11 In:8 Wi:14 Ch:17 Lawful S:0     
Dlvl:1 $:0 HP:16(16) Pw:4(4) AC:3 Xp:1/0                                        

",0.0,False
1,northwest,,"message:
You try to move the boulder, but in vain.

language observation:
dark area far north
boulder far westnorthwest
dark area near northeast, east, and northwest
water floor very near northeast and east
dark area very near southeast, south, and southwest
boulder very near northwest
stairs up adjacent southeast
boulder adjacent northwest

cursor:
Yourself a knight
(x=42, y=13)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                           ........    .....}                                   
                              .......   ....}                                   
                          .     ......   ...}                                   
                          .....  `..... `...}                                   
                          ...............`..}                                   
                          ................@.}                                   
                          .................<}                                   
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Gallant              St:16 Dx:9 Co:11 In:8 Wi:14 Ch:17 Lawful S:0     
Dlvl:1 $:0 HP:16(16) Pw:4(4) AC:3 Xp:1/0                                        

",-0.01,False
2,west,,"message:


language observation:
dark area far north and northwest
boulder far westnorthwest
water floor near northeast and east
dark area near northeast and east
stairs up very near eastsoutheast
dark area very near southeast, south, and southwest
boulder very near northnorthwest
boulder adjacent north

cursor:
Yourself a knight
(x=41, y=13)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                           ........... .....}                                   
                              ......... ....}                                   
                          .     .......  ...}                                   
                          .....  `......`...}                                   
                          ...............`..}                                   
                          ...............@..}                                   
                          .................<}                                   
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Gallant              St:16 Dx:9 Co:11 In:8 Wi:14 Ch:17 Lawful S:0     
Dlvl:1 $:0 HP:16(16) Pw:4(4) AC:3 Xp:1/0                                        

",0.0,False
3,northwest,,"message:


language observation:
boulders far westnorthwest
water floor near northeast and east
dark area near northeast, east, southeast, south, southwest, and northwest
stairs up near eastsoutheast
boulder near northnorthwest
dark area very near north
boulder adjacent north and east

cursor:
Yourself a knight
(x=40, y=12)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                          ..................}                                   
                              .........`....}                                   
                          .    `........ ...}                                   
                          .....  `......`...}                                   
                          ..............@`..}                                   
                          ..................}                                   
                          .................<}                                   
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Gallant              St:16 Dx:9 Co:11 In:8 Wi:14 Ch:17 Lawful S:0     
Dlvl:1 $:0 HP:16(16) Pw:4(4) AC:3 Xp:1/0                                        

",0.0,False
4,northwest,,"message:


language observation:
dark area far east and west
boulder far west and westnorthwest
dark area near north, northeast, southeast, south, southwest, and northwest
water floor near east
stairs up near eastsoutheast
boulder very near north and eastsoutheast
boulder adjacent east

cursor:
Yourself a knight
(x=39, y=11)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                          ..................}                                   
                             ..........`....}                                   
                          .    `............}                                   
                          .....  `.....@`...}                                   
                          ...............`..}                                   
                          ..................}                                   
                          .................<}                                   
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Gallant              St:16 Dx:9 Co:11 In:8 Wi:14 Ch:17 Lawful S:0     
Dlvl:1 $:0 HP:16(16) Pw:4(4) AC:3 Xp:1/0                                        

",0.0,False
5,east,,"message:
With great effort you move the boulder.

language observation:
boulder far west and westnorthwest
dark area far west
dark area near north, northeast, east, southeast, south, southwest, and northwest
water floor near east
stairs up near southeast
boulder very near northnorthwest
boulder adjacent east and southeast

cursor:
Yourself a knight
(x=40, y=11)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                          ..................}                                   
                            ...........`....}                                   
                          .    `............}                                   
                          .....  `......@`..}                                   
                          ...............`..}                                   
                          ..................}                                   
                          .................<}                                   
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Gallant              St:16 Dx:9 Co:11 In:8 Wi:14 Ch:17 Lawful S:0     
Dlvl:1 $:0 HP:16(16) Pw:4(4) AC:3 Xp:1/0                                        

",0.0,False
6,east,,"message:


language observation:
boulder far west and westnorthwest
dark area far west
dark area near north, northeast, east, southeast, south, southwest, and northwest
water floor near northeast, east, and southeast
stairs up near southsoutheast
boulder very near northwest
boulder adjacent east and south

cursor:
Yourself a knight
(x=41, y=11)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                          ..................}                                   
                            ...........`....}                                   
                          .    `............}                                   
                          .....  `.......@`.}                                   
                          ...............`..}                                   
                          ..................}                                   
                          .................<}                                   
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Gallant              St:16 Dx:9 Co:11 In:8 Wi:14 Ch:17 Lawful S:0     
Dlvl:1 $:0 HP:16(16) Pw:4(4) AC:3 Xp:1/0                                        

",0.0,False
7,east,,"message:


language observation:
boulder far west and westnorthwest
dark area near north, northeast, east, southeast, south, southwest, and northwest
stairs up near southsoutheast
boulder near westnorthwest
water floor very near northeast, east, and southeast
boulder adjacent east and southwest

cursor:
Yourself a knight
(x=42, y=11)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                          ..................}                                   
                            ...........`....}                                   
                          .    `............}                                   
                          .....  `........@`}                                   
                          ...............`..}                                   
                          ..................}                                   
                          .................<}                                   
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Gallant              St:16 Dx:9 Co:11 In:8 Wi:14 Ch:17 Lawful S:0     
Dlvl:1 $:0 HP:16(16) Pw:4(4) AC:3 Xp:1/0                                        

",0.0,False
8,west,,"message:


language observation:
boulder far west and westnorthwest
dark area far west
dark area near north, northeast, east, southeast, south, southwest, and northwest
water floor near northeast, east, and southeast
stairs up near southsoutheast
boulder very near east and northwest
boulder adjacent south

cursor:
Yourself a knight
(x=41, y=11)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                          ..................}                                   
                            ...........`....}                                   
                          .    `............}                                   
                          .....  `.......@.`}                                   
                          ...............`..}                                   
                          ..................}                                   
                          .................<}                                   
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Gallant              St:16 Dx:9 Co:11 In:8 Wi:14 Ch:17 Lawful S:0     
Dlvl:1 $:0 HP:16(16) Pw:4(4) AC:3 Xp:1/0                                        

",0.0,False
9,south,,"message:


language observation:
boulders far westnorthwest
dark area near north, northeast, east, southeast, south, southwest, and northwest
water floor near northeast and east
boulder near northnorthwest
boulder very near eastnortheast
stairs up very near southeast
boulder adjacent south

cursor:
Yourself a knight
(x=41, y=12)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                          ..................}                                   
                            ...........`....}                                   
                          .    `............}                                   
                          .....  `.........`}                                   
                          ...............@..}                                   
                          ...............`..}                                   
                          .................<}                                   
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Gallant              St:16 Dx:9 Co:11 In:8 Wi:14 Ch:17 Lawful S:0     
Dlvl:1 $:0 HP:16(16) Pw:4(4) AC:3 Xp:1/0                                        

",0.0,False
