Step,Action,Reasoning,Observation,Reward,Done
0,south,,"message:
$ - 5 gold pieces.

language observation:
vertical wall near east
southeast corner near southeast
horizontal wall near south
horizontal wall very near north and northeast
jackal very near east
vertical wall very near southwest and west
northwest room corner very near northwest
stairs up adjacent north
tame kitten adjacent west

cursor:
Yourself a valkyrie
(x=20, y=14)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                  -.-----                                                       
                  |.<...|                                                       
                  |f@.d.|                                                       
                  |......                                                       
                  |.....|                                                       
                  |.....|                                                       
                  -------                                                       
                                                                                
                                                                                
                                                                                
Agent the Stripling            St:18/02 Dx:13 Co:16 In:8 Wi:7 Ch:10 Lawful S:5  
Dlvl:1 $:5 HP:18(18) Pw:1(1) AC:6 Xp:1/0 T:2                                    

",5.0,False
1,east,,"message:
The jackal bites!

language observation:
vertical wall near east, southeast, southwest, and west
horizontal wall near south
dark area near northwest
horizontal wall very near north and northeast
doorway very near northwest
jackal adjacent east
tame kitten adjacent northwest

cursor:
Yourself a valkyrie
(x=21, y=14)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                  -.-----                                                       
                  |.f...|                                                       
                  |..@d.|                                                       
                  |......                                                       
                  |.....|                                                       
                  |.....|                                                       
                  -------                                                       
                                                                                
                                                                                
                                                                                
Agent the Stripling            St:18/02 Dx:13 Co:16 In:8 Wi:7 Ch:10 Lawful S:5  
Dlvl:1 $:5 HP:16(18) Pw:1(1) AC:6 Xp:1/0 T:3                                    

",0.0,False
2,fight,,"message:
The jackal bites!

language observation:
vertical wall near east, southeast, southwest, and west
horizontal wall near south
dark area near northwest
horizontal wall very near north and northeast
doorway very near northwest
jackal adjacent east
tame kitten adjacent northwest

cursor:
Yourself a valkyrie
(x=21, y=14)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                  -.-----                                                       
                  |.f...|                                                       
                  |..@d.|                                                       
                  |......                                                       
                  |.....|                                                       
                  |.....|                                                       
                  -------                                                       
                                                                                
                                                                                
                                                                                
Agent the Stripling            St:18/02 Dx:13 Co:16 In:8 Wi:7 Ch:10 Lawful S:5  
Dlvl:1 $:5 HP:16(18) Pw:1(1) AC:6 Xp:1/0 T:3                                    

",0.0,False
3,fight,,"message:
Invalid direction for 'F' prefix.

language observation:
vertical wall near east, southeast, southwest, and west
horizontal wall near south
dark area near northwest
horizontal wall very near north and northeast
doorway very near northwest
jackal adjacent east
tame kitten adjacent northwest

cursor:
Yourself a valkyrie
(x=21, y=14)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                  -.-----                                                       
                  |.f...|                                                       
                  |..@d.|                                                       
                  |......                                                       
                  |.....|                                                       
                  |.....|                                                       
                  -------                                                       
                                                                                
                                                                                
                                                                                
Agent the Stripling            St:18/02 Dx:13 Co:16 In:8 Wi:7 Ch:10 Lawful S:5  
Dlvl:1 $:5 HP:16(18) Pw:1(1) AC:6 Xp:1/0 T:3                                    

",0.0,False
4,fight,,"message:
Invalid direction for 'F' prefix.

language observation:
vertical wall near east, southeast, southwest, and west
horizontal wall near south
dark area near northwest
horizontal wall very near north and northeast
doorway very near northwest
jackal adjacent east
tame kitten adjacent northwest

cursor:
Yourself a valkyrie
(x=21, y=14)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                  -.-----                                                       
                  |.f...|                                                       
                  |..@d.|                                                       
                  |......                                                       
                  |.....|                                                       
                  |.....|                                                       
                  -------                                                       
                                                                                
                                                                                
                                                                                
Agent the Stripling            St:18/02 Dx:13 Co:16 In:8 Wi:7 Ch:10 Lawful S:5  
Dlvl:1 $:5 HP:16(18) Pw:1(1) AC:6 Xp:1/0 T:3                                    

",0.0,False
5,wield,,"message:
Invalid direction for 'F' prefix.

language observation:
vertical wall near east, southeast, southwest, and west
horizontal wall near south
dark area near northwest
horizontal wall very near north and northeast
doorway very near northwest
jackal adjacent east
tame kitten adjacent northwest

cursor:
Yourself a valkyrie
(x=21, y=14)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                  -.-----                                                       
                  |.f...|                                                       
                  |..@d.|                                                       
                  |......                                                       
                  |.....|                                                       
                  |.....|                                                       
                  -------                                                       
                                                                                
                                                                                
                                                                                
Agent the Stripling            St:18/02 Dx:13 Co:16 In:8 Wi:7 Ch:10 Lawful S:5  
Dlvl:1 $:5 HP:16(18) Pw:1(1) AC:6 Xp:1/0 T:3                                    

",0.0,False
6,fight,,"message:
Invalid direction for 'F' prefix.

language observation:
vertical wall near east, southeast, southwest, and west
horizontal wall near south
dark area near northwest
horizontal wall very near north and northeast
doorway very near northwest
jackal adjacent east
tame kitten adjacent northwest

cursor:
Yourself a valkyrie
(x=21, y=14)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                  -.-----                                                       
                  |.f...|                                                       
                  |..@d.|                                                       
                  |......                                                       
                  |.....|                                                       
                  |.....|                                                       
                  -------                                                       
                                                                                
                                                                                
                                                                                
Agent the Stripling            St:18/02 Dx:13 Co:16 In:8 Wi:7 Ch:10 Lawful S:5  
Dlvl:1 $:5 HP:16(18) Pw:1(1) AC:6 Xp:1/0 T:3                                    

",0.0,False
7,fight,,"message:
Invalid direction for 'F' prefix.

language observation:
vertical wall near east, southeast, southwest, and west
horizontal wall near south
dark area near northwest
horizontal wall very near north and northeast
doorway very near northwest
jackal adjacent east
tame kitten adjacent northwest

cursor:
Yourself a valkyrie
(x=21, y=14)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                  -.-----                                                       
                  |.f...|                                                       
                  |..@d.|                                                       
                  |......                                                       
                  |.....|                                                       
                  |.....|                                                       
                  -------                                                       
                                                                                
                                                                                
                                                                                
Agent the Stripling            St:18/02 Dx:13 Co:16 In:8 Wi:7 Ch:10 Lawful S:5  
Dlvl:1 $:5 HP:16(18) Pw:1(1) AC:6 Xp:1/0 T:3                                    

",0.0,False
8,fight,,"message:
Invalid direction for 'F' prefix.

language observation:
vertical wall near east, southeast, southwest, and west
horizontal wall near south
dark area near northwest
horizontal wall very near north and northeast
doorway very near northwest
jackal adjacent east
tame kitten adjacent northwest

cursor:
Yourself a valkyrie
(x=21, y=14)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                  -.-----                                                       
                  |.f...|                                                       
                  |..@d.|                                                       
                  |......                                                       
                  |.....|                                                       
                  |.....|                                                       
                  -------                                                       
                                                                                
                                                                                
                                                                                
Agent the Stripling            St:18/02 Dx:13 Co:16 In:8 Wi:7 Ch:10 Lawful S:5  
Dlvl:1 $:5 HP:16(18) Pw:1(1) AC:6 Xp:1/0 T:3                                    

",0.0,False
9,wield,,"message:
Invalid direction for 'F' prefix.

language observation:
vertical wall near east, southeast, southwest, and west
horizontal wall near south
dark area near northwest
horizontal wall very near north and northeast
doorway very near northwest
jackal adjacent east
tame kitten adjacent northwest

cursor:
Yourself a valkyrie
(x=21, y=14)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                  -.-----                                                       
                  |.f...|                                                       
                  |..@d.|                                                       
                  |......                                                       
                  |.....|                                                       
                  |.....|                                                       
                  -------                                                       
                                                                                
                                                                                
                                                                                
Agent the Stripling            St:18/02 Dx:13 Co:16 In:8 Wi:7 Ch:10 Lawful S:5  
Dlvl:1 $:5 HP:16(18) Pw:1(1) AC:6 Xp:1/0 T:3                                    

",0.0,False
