Step,Action,Reasoning,Observation,Reward,Done
0,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
1,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
2,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
3,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
4,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
5,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
6,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
7,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
8,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
9,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
10,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
11,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
12,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
13,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
14,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
15,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
16,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
17,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
18,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
19,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
20,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
21,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
22,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
23,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
24,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
25,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
26,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
27,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
28,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
29,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
30,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
31,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
32,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
33,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
34,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
35,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
36,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
37,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
38,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
39,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
40,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
41,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
42,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
43,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
44,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
45,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
46,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
47,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
48,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
49,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
50,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
51,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
52,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
53,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
54,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
55,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
56,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
57,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
58,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
59,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
60,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
61,turn left,,"a wall 2 steps forward
a wall 1 step left",0,False
62,turn right,,"a wall 6 steps forward
a wall 2 steps left",0,False
63,turn left,,"a wall 2 steps forward
a wall 1 step left",0,True
