Step,Action,Reasoning,Observation,Reward,Done
0,north,,"message:


language observation:
dark area far north and south
dark area very near northeast
dark area adjacent east, southeast, southwest, west, and northwest
stairs up adjacent south

cursor:
Yourself a cavewoman
(x=32, y=11)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                ...                                             
                                @                                               
                                <                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                                                                
                                                                                
                                                                                
Agent the Troglodyte           St:18/06 Dx:11 Co:14 In:8 Wi:9 Ch:7 Neutral S:0  
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:8 Xp:1/0                                        

",0.0,False
1,south,,"message:


language observation:
dark area far north and south
dark area adjacent northeast, east, southeast, southwest, west, and northwest

cursor:
Yourself a cavewoman
(x=32, y=12)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                ...                                             
                                .                                               
                                @                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                                                                
                                                                                
                                                                                
Agent the Troglodyte           St:18/06 Dx:11 Co:14 In:8 Wi:9 Ch:7 Neutral S:0  
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:8 Xp:1/0                                        

",0.0,False
2,north,,"message:


language observation:
dark area far north and south
dark area very near northeast
dark area adjacent east, southeast, southwest, west, and northwest
stairs up adjacent south

cursor:
Yourself a cavewoman
(x=32, y=11)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                ...                                             
                                @                                               
                                <                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                                                                
                                                                                
                                                                                
Agent the Troglodyte           St:18/06 Dx:11 Co:14 In:8 Wi:9 Ch:7 Neutral S:0  
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:8 Xp:1/0                                        

",0.0,False
3,south,,"message:


language observation:
dark area far north and south
dark area adjacent northeast, east, southeast, southwest, west, and northwest

cursor:
Yourself a cavewoman
(x=32, y=12)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                ...                                             
                                .                                               
                                @                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                                                                
                                                                                
                                                                                
Agent the Troglodyte           St:18/06 Dx:11 Co:14 In:8 Wi:9 Ch:7 Neutral S:0  
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:8 Xp:1/0                                        

",0.0,False
4,north,,"message:


language observation:
dark area far north and south
dark area very near northeast
dark area adjacent east, southeast, southwest, west, and northwest
stairs up adjacent south

cursor:
Yourself a cavewoman
(x=32, y=11)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                ...                                             
                                @                                               
                                <                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                                                                
                                                                                
                                                                                
Agent the Troglodyte           St:18/06 Dx:11 Co:14 In:8 Wi:9 Ch:7 Neutral S:0  
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:8 Xp:1/0                                        

",0.0,False
5,south,,"message:


language observation:
dark area far north and south
dark area adjacent northeast, east, southeast, southwest, west, and northwest

cursor:
Yourself a cavewoman
(x=32, y=12)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                ...                                             
                                .                                               
                                @                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                                                                
                                                                                
                                                                                
Agent the Troglodyte           St:18/06 Dx:11 Co:14 In:8 Wi:9 Ch:7 Neutral S:0  
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:8 Xp:1/0                                        

",0.0,False
6,north,,"message:


language observation:
dark area far north and south
dark area very near northeast
dark area adjacent east, southeast, southwest, west, and northwest
stairs up adjacent south

cursor:
Yourself a cavewoman
(x=32, y=11)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                ...                                             
                                @                                               
                                <                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                                                                
                                                                                
                                                                                
Agent the Troglodyte           St:18/06 Dx:11 Co:14 In:8 Wi:9 Ch:7 Neutral S:0  
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:8 Xp:1/0                                        

",0.0,False
7,south,,"message:


language observation:
dark area far north and south
dark area adjacent northeast, east, southeast, southwest, west, and northwest

cursor:
Yourself a cavewoman
(x=32, y=12)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                ...                                             
                                .                                               
                                @                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                                                                
                                                                                
                                                                                
Agent the Troglodyte           St:18/06 Dx:11 Co:14 In:8 Wi:9 Ch:7 Neutral S:0  
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:8 Xp:1/0                                        

",0.0,False
8,north,,"message:


language observation:
dark area far north and south
dark area very near northeast
dark area adjacent east, southeast, southwest, west, and northwest
stairs up adjacent south

cursor:
Yourself a cavewoman
(x=32, y=11)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                ...                                             
                                @                                               
                                <                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                                                                
                                                                                
                                                                                
Agent the Troglodyte           St:18/06 Dx:11 Co:14 In:8 Wi:9 Ch:7 Neutral S:0  
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:8 Xp:1/0                                        

",0.0,False
9,south,,"message:


language observation:
dark area far north and south
dark area adjacent northeast, east, southeast, southwest, west, and northwest

cursor:
Yourself a cavewoman
(x=32, y=12)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                ...                                             
                                .                                               
                                @                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                .                                               
                                                                                
                                                                                
                                                                                
Agent the Troglodyte           St:18/06 Dx:11 Co:14 In:8 Wi:9 Ch:7 Neutral S:0  
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:8 Xp:1/0                                        

",0.0,False
