Step,Action,Reasoning,Observation,Reward,Done
0,go forward,,"a wall 2 steps left
a grey ball 2 steps forward",0,False
1,go forward,,"a wall 2 steps left
a grey ball 1 step forward",0,False
2,go forward,,"a wall 2 steps left
a grey ball 1 step forward",0,False
3,pick up,,"You carry a grey ball
a wall 2 steps forward
a wall 2 steps left",0,False
4,turn right,,"You carry a grey ball
a wall 5 steps forward
a wall 2 steps left",0,False
5,turn right,,"You carry a grey ball
a wall 5 steps forward
a wall 2 steps right
a purple key 3 steps left and 4 steps forward",0,False
6,turn left,,"You carry a grey ball
a wall 5 steps forward
a wall 2 steps left",0,False
7,turn right,,"You carry a grey ball
a wall 5 steps forward
a wall 2 steps right
a purple key 3 steps left and 4 steps forward",0,False
8,turn left,,"You carry a grey ball
a wall 5 steps forward
a wall 2 steps left",0,False
9,turn right,,"You carry a grey ball
a wall 5 steps forward
a wall 2 steps right
a purple key 3 steps left and 4 steps forward",0,False
10,turn left,,"You carry a grey ball
a wall 5 steps forward
a wall 2 steps left",0,False
11,turn right,,"You carry a grey ball
a wall 5 steps forward
a wall 2 steps right
a purple key 3 steps left and 4 steps forward",0,False
12,turn left,,"You carry a grey ball
a wall 5 steps forward
a wall 2 steps left",0,False
13,turn right,,"You carry a grey ball
a wall 5 steps forward
a wall 2 steps right
a purple key 3 steps left and 4 steps forward",0,False
14,turn left,,"You carry a grey ball
a wall 5 steps forward
a wall 2 steps left",0,False
15,turn right,,"You carry a grey ball
a wall 5 steps forward
a wall 2 steps right
a purple key 3 steps left and 4 steps forward",0,False
16,turn left,,"You carry a grey ball
a wall 5 steps forward
a wall 2 steps left",0,False
17,go forward,,"You carry a grey ball
a wall 4 steps forward
a wall 2 steps left",0,False
18,turn right,,"You carry a grey ball
a wall 5 steps forward
a wall 3 steps right
a purple key 2 steps left and 4 steps forward",0,False
19,turn left,,"You carry a grey ball
a wall 4 steps forward
a wall 2 steps left",0,False
20,turn right,,"You carry a grey ball
a wall 5 steps forward
a wall 3 steps right
a purple key 2 steps left and 4 steps forward",0,False
21,turn left,,"You carry a grey ball
a wall 4 steps forward
a wall 2 steps left",0,False
22,turn right,,"You carry a grey ball
a wall 5 steps forward
a wall 3 steps right
a purple key 2 steps left and 4 steps forward",0,False
23,turn left,,"You carry a grey ball
a wall 4 steps forward
a wall 2 steps left",0,False
24,go forward,,"You carry a grey ball
a wall 3 steps forward
a wall 2 steps left",0,False
25,turn right,,"You carry a grey ball
a wall 5 steps forward
a wall 3 steps left
a purple key 1 step left and 4 steps forward",0,False
26,turn left,,"You carry a grey ball
a wall 3 steps forward
a wall 2 steps left",0,False
27,turn right,,"You carry a grey ball
a wall 5 steps forward
a wall 3 steps left
a purple key 1 step left and 4 steps forward",0,False
28,turn left,,"You carry a grey ball
a wall 3 steps forward
a wall 2 steps left",0,False
29,go forward,,"You carry a grey ball
a wall 2 steps forward
a wall 2 steps left",0,False
30,turn right,,"You carry a grey ball
a wall 2 steps left
a purple key 4 steps forward",0,False
31,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 3 steps forward",0,False
32,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 2 steps forward",0,False
33,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
34,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
35,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
36,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
37,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
38,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
39,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
40,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
41,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
42,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
43,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
44,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
45,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
46,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
47,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
48,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
49,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
50,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
51,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
52,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
53,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
54,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
55,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
56,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
57,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
58,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
59,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
60,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
61,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
62,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
63,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
64,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
65,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
66,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
67,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
68,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
69,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
70,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
71,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
72,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
73,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
74,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
75,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
76,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
77,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
78,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
79,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
80,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
81,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
82,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
83,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
84,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
85,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
86,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
87,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
88,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
89,pick up,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
90,go forward,,"You carry a grey ball
a wall 2 steps left
a purple key 1 step forward",0,False
