Step,Action,Reasoning,Observation,Reward,Done
0,east,,"message:
You cannot pass through the bars.

language observation:
bars far eastnortheast and eastsoutheast
bars far eastnortheast and eastsoutheast
fountain far eastnortheast
dark area far east, southeast, and south
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southeast, southsoutheast, southsouthwest, and northnorthwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southeast, southsoutheast, southsouthwest, and northnorthwest
dark area near north, northeast, southwest, west, and northwest
boulder near eastnortheast and eastsoutheast
fountain near east and eastsoutheast
bars very near north, northnortheast, northeast, eastnortheast, east, southwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
fountain very near southsouthwest
bars adjacent north, northeast, east, southwest, west, and northwest
boulder adjacent southeast and south

cursor:
Yourself a healer
(x=36, y=12)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                  ##########                                    
                                  ########.#                                    
                                  #######.{#                                    
                                  #######`.#                                    
                                  ##@####{.#                                    
                                  ##``.`{..#                                    
                                  #{...#...#                                    
                                  #..##.##.#                                    
                                  #.....####                                    
                                  ##########                                    
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Rhizotomist          St:10 Dx:9 Co:15 In:8 Wi:16 Ch:17 Neutral S:0    
Dlvl:1 $:1359 HP:13(13) Pw:5(5) AC:8 Xp:1/0                                     

",-0.001,False
1,north,,"message:
You cannot pass through the bars.

language observation:
bars far eastnortheast and eastsoutheast
bars far eastnortheast and eastsoutheast
fountain far eastnortheast
dark area far east, southeast, and south
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southeast, southsoutheast, southsouthwest, and northnorthwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southeast, southsoutheast, southsouthwest, and northnorthwest
dark area near north, northeast, southwest, west, and northwest
boulder near eastnortheast and eastsoutheast
fountain near east and eastsoutheast
bars very near north, northnortheast, northeast, eastnortheast, east, southwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
fountain very near southsouthwest
bars adjacent north, northeast, east, southwest, west, and northwest
boulder adjacent southeast and south

cursor:
Yourself a healer
(x=36, y=12)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                  ##########                                    
                                  ########.#                                    
                                  #######.{#                                    
                                  #######`.#                                    
                                  ##@####{.#                                    
                                  ##``.`{..#                                    
                                  #{...#...#                                    
                                  #..##.##.#                                    
                                  #.....####                                    
                                  ##########                                    
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Rhizotomist          St:10 Dx:9 Co:15 In:8 Wi:16 Ch:17 Neutral S:0    
Dlvl:1 $:1359 HP:13(13) Pw:5(5) AC:8 Xp:1/0                                     

",-0.001,False
2,south,,"message:


language observation:
dark area far north, northeast, and east
bars far eastnortheast and eastsoutheast
bars far eastnortheast and eastsoutheast
fountain far eastnortheast
bars near north, northnortheast, northeast, eastnortheast, eastsoutheast, southsoutheast, southsouthwest, and northnorthwest
bars near north, northnortheast, northeast, eastnortheast, eastsoutheast, southsoutheast, southsouthwest, and northnorthwest
boulder near eastnortheast and east
fountain near eastnortheast and east
dark area near southeast, south, southwest, west, and northwest
bars very near north, northnortheast, northeast, eastnortheast, southeast, southsoutheast, southwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
stairs up adjacent north
bars adjacent northeast, west, and northwest
boulder adjacent east and south
fountain adjacent southwest

cursor:
Yourself a healer
(x=36, y=13)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                  ##########                                    
                                  ########.#                                    
                                  #######.{#                                    
                                  #######`.#                                    
                                  ##<####{.#                                    
                                  ##@`.`{..#                                    
                                  #{`..#...#                                    
                                  #..##.##.#                                    
                                  #.....####                                    
                                  ##########                                    
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Rhizotomist          St:10 Dx:9 Co:15 In:8 Wi:16 Ch:17 Neutral S:0    
Dlvl:1 $:1359 HP:13(13) Pw:5(5) AC:8 Xp:1/0                                     

",-0.001,False
3,south,,"message:


language observation:
bars far northnortheast, eastnortheast, eastsoutheast, and northnorthwest
bars far northnortheast, eastnortheast, eastsoutheast, and northnorthwest
dark area far north, northeast, and east
fountain far eastnortheast
bars near north, northnortheast, northeast, eastnortheast, eastsoutheast, southsoutheast, southsouthwest, and northnorthwest
bars near north, northnortheast, northeast, eastnortheast, eastsoutheast, southsoutheast, southsouthwest, and northnorthwest
boulders near eastnortheast
fountains near eastnortheast
dark area near southeast, south, southwest, west, and northwest
stairs up very near north
bars very near northnortheast, northeast, eastsoutheast, southwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
boulder adjacent northeast and south
bars adjacent southeast and northwest
fountain adjacent west

cursor:
Yourself a healer
(x=36, y=14)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                  ##########                                    
                                  ########.#                                    
                                  #######.{#                                    
                                  #######`.#                                    
                                  ##<####{.#                                    
                                  ##.`.`{..#                                    
                                  #{@..#...#                                    
                                  #.`##.##.#                                    
                                  #.....####                                    
                                  ##########                                    
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Rhizotomist          St:10 Dx:9 Co:15 In:8 Wi:16 Ch:17 Neutral S:0    
Dlvl:1 $:1359 HP:13(13) Pw:5(5) AC:8 Xp:1/0                                     

",-0.001,False
4,south,,"message:


language observation:
bars far north, northnortheast, eastnortheast, eastsoutheast, and northnorthwest
bars far north, northnortheast, eastnortheast, eastsoutheast, and northnorthwest
dark area far north, northeast, and east
fountain far eastnortheast
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, and northnorthwest
stairs up near north
boulders near eastnortheast
fountains near eastnortheast
dark area near southeast, south, southwest, west, and northwest
boulder very near northnortheast
bars very near east, southeast, southsoutheast, south, southsouthwest, southwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
bars adjacent east
boulder adjacent south
fountain adjacent northwest

cursor:
Yourself a healer
(x=36, y=15)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                  ##########                                    
                                  ########.#                                    
                                  #######.{#                                    
                                  #######`.#                                    
                                  ##<####{.#                                    
                                  ##.`.`{..#                                    
                                  #{...#...#                                    
                                  #.@##.##.#                                    
                                  #.`...####                                    
                                  ##########                                    
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Rhizotomist          St:10 Dx:9 Co:15 In:8 Wi:16 Ch:17 Neutral S:0    
Dlvl:1 $:1359 HP:13(13) Pw:5(5) AC:8 Xp:1/0                                     

",-0.001,False
5,south,,"message:
You try to move the boulder, but in vain.

language observation:
bars far north, northnortheast, eastnortheast, eastsoutheast, and northnorthwest
bars far north, northnortheast, eastnortheast, eastsoutheast, and northnorthwest
dark area far north, northeast, and east
fountain far eastnortheast
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, and northnorthwest
stairs up near north
boulders near eastnortheast
fountains near eastnortheast
dark area near southeast, south, southwest, west, and northwest
boulder very near northnortheast
bars very near east, southeast, southsoutheast, south, southsouthwest, southwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
bars adjacent east
boulder adjacent south
fountain adjacent northwest

cursor:
Yourself a healer
(x=36, y=15)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                  ##########                                    
                                  ########.#                                    
                                  #######.{#                                    
                                  #######`.#                                    
                                  ##<####{.#                                    
                                  ##.`.`{..#                                    
                                  #{...#...#                                    
                                  #.@##.##.#                                    
                                  #.`...####                                    
                                  ##########                                    
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Rhizotomist          St:10 Dx:9 Co:15 In:8 Wi:16 Ch:17 Neutral S:0    
Dlvl:1 $:1359 HP:13(13) Pw:5(5) AC:8 Xp:1/0                                     

",-0.001,False
6,east,,"message:
You cannot pass through the bars.

language observation:
bars far north, northnortheast, eastnortheast, eastsoutheast, and northnorthwest
bars far north, northnortheast, eastnortheast, eastsoutheast, and northnorthwest
dark area far north, northeast, and east
fountain far eastnortheast
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, and northnorthwest
stairs up near north
boulders near eastnortheast
fountains near eastnortheast
dark area near southeast, south, southwest, west, and northwest
boulder very near northnortheast
bars very near east, southeast, southsoutheast, south, southsouthwest, southwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
bars adjacent east
boulder adjacent south
fountain adjacent northwest

cursor:
Yourself a healer
(x=36, y=15)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                  ##########                                    
                                  ########.#                                    
                                  #######.{#                                    
                                  #######`.#                                    
                                  ##<####{.#                                    
                                  ##.`.`{..#                                    
                                  #{...#...#                                    
                                  #.@##.##.#                                    
                                  #.`...####                                    
                                  ##########                                    
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Rhizotomist          St:10 Dx:9 Co:15 In:8 Wi:16 Ch:17 Neutral S:0    
Dlvl:1 $:1359 HP:13(13) Pw:5(5) AC:8 Xp:1/0                                     

",-0.001,False
7,south,,"message:
You try to move the boulder, but in vain.

language observation:
bars far north, northnortheast, eastnortheast, eastsoutheast, and northnorthwest
bars far north, northnortheast, eastnortheast, eastsoutheast, and northnorthwest
dark area far north, northeast, and east
fountain far eastnortheast
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, and northnorthwest
stairs up near north
boulders near eastnortheast
fountains near eastnortheast
dark area near southeast, south, southwest, west, and northwest
boulder very near northnortheast
bars very near east, southeast, southsoutheast, south, southsouthwest, southwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
bars adjacent east
boulder adjacent south
fountain adjacent northwest

cursor:
Yourself a healer
(x=36, y=15)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                  ##########                                    
                                  ########.#                                    
                                  #######.{#                                    
                                  #######`.#                                    
                                  ##<####{.#                                    
                                  ##.`.`{..#                                    
                                  #{...#...#                                    
                                  #.@##.##.#                                    
                                  #.`...####                                    
                                  ##########                                    
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Rhizotomist          St:10 Dx:9 Co:15 In:8 Wi:16 Ch:17 Neutral S:0    
Dlvl:1 $:1359 HP:13(13) Pw:5(5) AC:8 Xp:1/0                                     

",-0.001,False
8,west,,"message:


language observation:
bars far north, northnortheast, northeast, eastnortheast, east, eastsoutheast, and northnorthwest
dark area far north, northeast, and east
fountains far eastnortheast
boulder far eastnortheast
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, and northnorthwest
stairs up near northnortheast
boulder near eastnortheast
fountain near eastnortheast
dark area near southeast and south
bars very near north, east, southeast, southsoutheast, south, southsouthwest, and northnorthwest
boulder very near northeast
dark area very near southwest, west, and northwest
fountain adjacent north
boulder adjacent southeast
bars adjacent southwest, west, and northwest

cursor:
Yourself a healer
(x=35, y=15)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                  ##########                                    
                                  ########.#                                    
                                  #######.{#                                    
                                  #######`.#                                    
                                  ##<####{.#                                    
                                  ##.`.`{..#                                    
                                  #{...#...#                                    
                                  #@.##.##.#                                    
                                  #.`...####                                    
                                  ##########                                    
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Rhizotomist          St:10 Dx:9 Co:15 In:8 Wi:16 Ch:17 Neutral S:0    
Dlvl:1 $:1359 HP:13(13) Pw:5(5) AC:8 Xp:1/0                                     

",-0.001,False
9,east,,"message:


language observation:
bars far north, northnortheast, eastnortheast, eastsoutheast, and northnorthwest
bars far north, northnortheast, eastnortheast, eastsoutheast, and northnorthwest
dark area far north, northeast, and east
fountain far eastnortheast
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, and northnorthwest
stairs up near north
boulders near eastnortheast
fountains near eastnortheast
dark area near southeast, south, southwest, west, and northwest
boulder very near northnortheast
bars very near east, southeast, southsoutheast, south, southsouthwest, southwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
bars adjacent east
boulder adjacent south
fountain adjacent northwest

cursor:
Yourself a healer
(x=36, y=15)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                  ##########                                    
                                  ########.#                                    
                                  #######.{#                                    
                                  #######`.#                                    
                                  ##<####{.#                                    
                                  ##.`.`{..#                                    
                                  #{...#...#                                    
                                  #.@##.##.#                                    
                                  #.`...####                                    
                                  ##########                                    
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Rhizotomist          St:10 Dx:9 Co:15 In:8 Wi:16 Ch:17 Neutral S:0    
Dlvl:1 $:1359 HP:13(13) Pw:5(5) AC:8 Xp:1/0                                     

",-0.001,False
