Step,Action,Reasoning,Observation,Reward,Done
0,Move South,,"You see:
- grass 1 steps to your west
- tree 6 steps to your north-west
- cow 1 steps to your south

You face cow at your front.",0.0,False
1,Do,,"You see:
- grass 1 steps to your west
- tree 6 steps to your north-west
- cow 2 steps to your south-east

You face grass at your front.",0.0,False
2,Move West,,"You see:
- grass 1 steps to your west
- tree 4 steps to your west
- cow 2 steps to your east

You face grass at your front.",0.0,False
3,Move West,,"You see:
- grass 1 steps to your west
- tree 3 steps to your west
- cow 2 steps to your east

You face grass at your front.",0.0,False
4,Move West,,"You see:
- grass 1 steps to your west
- stone 7 steps to your north-west
- tree 2 steps to your west
- cow 4 steps to your north-east

You face grass at your front.",0.0,False
5,Move West,,"You see:
- grass 1 steps to your north
- stone 5 steps to your north-west
- tree 1 steps to your west

You face tree at your front.",0.0,False
6,Do,,"You see:
- grass 1 steps to your west
- stone 5 steps to your north-west
- tree 3 steps to your north

You face grass at your front.",1.0,False
7,Move West,,"You see:
- grass 1 steps to your west
- stone 4 steps to your west
- tree 4 steps to your north-east

You face grass at your front.",0.0,False
8,Move West,,"You see:
- grass 1 steps to your west
- stone 3 steps to your west
- tree 5 steps to your north-east

You face grass at your front.",0.0,False
9,Move West,,"You see:
- grass 1 steps to your west
- stone 2 steps to your west
- tree 6 steps to your north-east

You face grass at your front.",0.0,False
10,Move West,,"You see:
- grass 1 steps to your south
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west

You face stone at your front.",0.0,False
11,Do,,"You see:
- grass 1 steps to your south
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west

You face stone at your front.",0.0,False
12,Move West,,"You see:
- grass 1 steps to your south
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west

You face stone at your front.",0.0,False
13,Do,,"You see:
- grass 1 steps to your south
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west

You face stone at your front.",0.0,False
14,Collect Stone,,"

Your previous output did not contain a valid action. Defaulted to action: Noop

Observation:
You see:
- grass 1 steps to your south
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 4 steps to your south-west

You face stone at your front.",0.0,False
15,Collect Stone,,"

Your previous output did not contain a valid action. Defaulted to action: Noop

Observation:
You see:
- grass 1 steps to your south
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 3 steps to your south-west

You face stone at your front.",0.0,False
16,Do,,"You see:
- grass 1 steps to your south
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 3 steps to your south-west

You face stone at your front.",0.0,False
17,Collect Stone,,"

Your previous output did not contain a valid action. Defaulted to action: Noop

Observation:
You see:
- grass 1 steps to your south
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 3 steps to your south-west

You face stone at your front.",0.0,False
18,Move West,,"You see:
- grass 1 steps to your south
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 3 steps to your south-west

You face stone at your front.",0.0,False
19,Do,,"You see:
- grass 1 steps to your south
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 2 steps to your south

You face stone at your front.",0.0,False
20,Do,,"You see:
- grass 1 steps to your east
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 1 steps to your south

You face stone at your front.",-0.2,False
21,Do,,"You see:
- grass 1 steps to your east
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 1 steps to your south

You face stone at your front.",0.0,False
22,Do,,"You see:
- grass 1 steps to your east
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 1 steps to your south

You face stone at your front.",0.0,False
23,Collect Stone,,"

Your previous output did not contain a valid action. Defaulted to action: Noop

Observation:
You see:
- grass 1 steps to your east
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 1 steps to your south

You face stone at your front.",0.0,False
24,Move West,,"You see:
- grass 1 steps to your east
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 1 steps to your south

You face stone at your front.",0.1,False
25,Do,,"You see:
- grass 1 steps to your east
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 1 steps to your south

You face stone at your front.",0.0,False
26,Collect Stone,,"

Your previous output did not contain a valid action. Defaulted to action: Noop

Observation:
You see:
- grass 1 steps to your east
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 1 steps to your south

You face stone at your front.",-0.2,False
27,Move West,,"You see:
- grass 1 steps to your east
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 1 steps to your south

You face stone at your front.",0.0,False
28,Do,,"You see:
- grass 1 steps to your east
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 1 steps to your south

You face stone at your front.",0.0,False
29,Do,,"You see:
- grass 1 steps to your east
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 1 steps to your south

You face stone at your front.",0.0,False
30,Collect Stone,,"

Your previous output did not contain a valid action. Defaulted to action: Noop

Observation:
You see:
- grass 1 steps to your east
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 1 steps to your south

You face stone at your front.",0.0,False
31,Move West,,"You see:
- grass 1 steps to your east
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 1 steps to your south

You face stone at your front.",0.0,False
32,Do,,"You see:
- grass 1 steps to your east
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 1 steps to your south

You face stone at your front.",-0.2,False
33,Collect Stone,,"

Your previous output did not contain a valid action. Defaulted to action: Noop

Observation:
You see:
- grass 1 steps to your south
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 2 steps to your south

You face stone at your front.",0.0,False
34,Move West,,"You see:
- grass 1 steps to your east
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 1 steps to your south

You face stone at your front.",0.0,False
35,Do,,"You see:
- grass 1 steps to your east
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 1 steps to your south

You face stone at your front.",0.0,False
36,Collect Stone,,"

Your previous output did not contain a valid action. Defaulted to action: Noop

Observation:
You see:
- grass 1 steps to your east
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 1 steps to your south

You face stone at your front.",0.0,False
37,Move West,,"You see:
- grass 1 steps to your east
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 1 steps to your south

You face stone at your front.",0.0,False
38,Do,,"You see:
- grass 1 steps to your east
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 1 steps to your south

You face stone at your front.",0.0,False
39,Do,,"You see:
- grass 1 steps to your east
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 1 steps to your south

You face stone at your front.",-0.2,False
40,Do,,"You see:
- grass 1 steps to your east
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 1 steps to your south

You face stone at your front.",0.0,False
41,Collect Stone,,"

Your previous output did not contain a valid action. Defaulted to action: Noop

Observation:
You see:
- grass 1 steps to your east
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 1 steps to your south

You face stone at your front.",0.0,False
42,Move West,,"You see:
- grass 1 steps to your east
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 1 steps to your south

You face stone at your front.",0.0,False
43,Do,,"You see:
- grass 1 steps to your east
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 1 steps to your south

You face stone at your front.",0.0,False
44,Collect Stone,,"

Your previous output did not contain a valid action. Defaulted to action: Noop

Observation:
You see:
- grass 1 steps to your east
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 1 steps to your south

You face stone at your front.",0.0,False
45,Move West,,"You died.



You see:
- grass 1 steps to your east
- stone 1 steps to your west
- tree 7 steps to your north-east
- coal 5 steps to your south-west
- zombie 1 steps to your south

You face stone at your front.",-0.2,True
