Step,Action,Reasoning,Observation,Reward,Done
0,southwest,,"message:


language observation:
boulder far eastnortheast and eastsoutheast
dark area near north, northeast, southeast, and south
boulder near southeast
boulder very near southsoutheast
stairs up adjacent northeast
dark area adjacent southwest, west, and northwest

cursor:
Yourself a caveman
(x=26, y=10)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                          ..................}                                   
                          .<........`       }                                   
                          @.................}                                   
                          ..................}                                   
                          .`................}                                   
                          . .`.....` .......}                                   
                          . .  ......  .....}                                   
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Troglodyte           St:18/01 Dx:12 Co:16 In:9 Wi:12 Ch:7 Neutral S:0 
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:8 Xp:1/0                                        

",0.0,False
1,south,,"message:


language observation:
boulder far eastnortheast and eastsoutheast
dark area near north, northeast, southeast, and south
boulder near eastsoutheast
stairs up very near northnortheast
boulder adjacent southeast
dark area adjacent southwest, west, and northwest

cursor:
Yourself a caveman
(x=26, y=11)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                          ..................}                                   
                          .<........`   ....}                                   
                          ..................}                                   
                          @.................}                                   
                          .`................}                                   
                          . .`.....` .......}                                   
                          ...  ......  .....}                                   
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Troglodyte           St:18/01 Dx:12 Co:16 In:9 Wi:12 Ch:7 Neutral S:0 
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:8 Xp:1/0                                        

",0.0,False
2,south,,"message:


language observation:
boulder far eastnortheast and eastsoutheast
dark area near north, northeast, southeast, and south
stairs up near northnortheast
boulder near eastsoutheast
boulder adjacent east
dark area adjacent southwest, west, and northwest

cursor:
Yourself a caveman
(x=26, y=12)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                          ..................}                                   
                          .<........`   ....}                                   
                          ..................}                                   
                          ..................}                                   
                          @`................}                                   
                          ...`.....` .......}                                   
                          ...........  .....}                                   
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Troglodyte           St:18/01 Dx:12 Co:16 In:9 Wi:12 Ch:7 Neutral S:0 
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:8 Xp:1/0                                        

",0.0,False
3,south,,"message:


language observation:
dark area far north and northeast
boulder far eastnortheast and east
stairs up near northnortheast
boulder near east
dark area very near southeast and south
boulder adjacent northeast
dark area adjacent southwest, west, and northwest

cursor:
Yourself a caveman
(x=26, y=13)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                          ..................}                                   
                          .<........` ......}                                   
                          ..................}                                   
                          ..................}                                   
                          .`................}                                   
                          @..`.....` .......}                                   
                          ...........  .....}                                   
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Troglodyte           St:18/01 Dx:12 Co:16 In:9 Wi:12 Ch:7 Neutral S:0 
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:8 Xp:1/0                                        

",0.0,False
4,south,,"message:


language observation:
dark area far north and northeast
boulders far eastnortheast
stairs up near northnortheast
boulder near eastnortheast
boulder very near northnortheast
dark area adjacent southeast, south, southwest, west, and northwest

cursor:
Yourself a caveman
(x=26, y=14)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                          ..................}                                   
                          .<........` ......}                                   
                          ..................}                                   
                          ..................}                                   
                          .`................}                                   
                          ...`.....` .......}                                   
                          @.................}                                   
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Troglodyte           St:18/01 Dx:12 Co:16 In:9 Wi:12 Ch:7 Neutral S:0 
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:8 Xp:1/0                                        

",0.0,False
5,south,,"message:
It's solid stone.

language observation:
dark area far north and northeast
boulders far eastnortheast
stairs up near northnortheast
boulder near eastnortheast
boulder very near northnortheast
dark area adjacent southeast, south, southwest, west, and northwest

cursor:
Yourself a caveman
(x=26, y=14)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                          ..................}                                   
                          .<........` ......}                                   
                          ..................}                                   
                          ..................}                                   
                          .`................}                                   
                          ...`.....` .......}                                   
                          @.................}                                   
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Troglodyte           St:18/01 Dx:12 Co:16 In:9 Wi:12 Ch:7 Neutral S:0 
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:8 Xp:1/0                                        

",-0.01,False
6,south,,"message:
It's solid stone.

language observation:
dark area far north and northeast
boulders far eastnortheast
stairs up near northnortheast
boulder near eastnortheast
boulder very near northnortheast
dark area adjacent southeast, south, southwest, west, and northwest

cursor:
Yourself a caveman
(x=26, y=14)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                          ..................}                                   
                          .<........` ......}                                   
                          ..................}                                   
                          ..................}                                   
                          .`................}                                   
                          ...`.....` .......}                                   
                          @.................}                                   
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Troglodyte           St:18/01 Dx:12 Co:16 In:9 Wi:12 Ch:7 Neutral S:0 
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:8 Xp:1/0                                        

",-0.01,False
7,south,,"message:
It's solid stone.

language observation:
dark area far north and northeast
boulders far eastnortheast
stairs up near northnortheast
boulder near eastnortheast
boulder very near northnortheast
dark area adjacent southeast, south, southwest, west, and northwest

cursor:
Yourself a caveman
(x=26, y=14)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                          ..................}                                   
                          .<........` ......}                                   
                          ..................}                                   
                          ..................}                                   
                          .`................}                                   
                          ...`.....` .......}                                   
                          @.................}                                   
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Troglodyte           St:18/01 Dx:12 Co:16 In:9 Wi:12 Ch:7 Neutral S:0 
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:8 Xp:1/0                                        

",-0.01,False
8,south,,"message:
It's solid stone.

language observation:
dark area far north and northeast
boulders far eastnortheast
stairs up near northnortheast
boulder near eastnortheast
boulder very near northnortheast
dark area adjacent southeast, south, southwest, west, and northwest

cursor:
Yourself a caveman
(x=26, y=14)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                          ..................}                                   
                          .<........` ......}                                   
                          ..................}                                   
                          ..................}                                   
                          .`................}                                   
                          ...`.....` .......}                                   
                          @.................}                                   
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Troglodyte           St:18/01 Dx:12 Co:16 In:9 Wi:12 Ch:7 Neutral S:0 
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:8 Xp:1/0                                        

",-0.01,False
9,south,,"message:
It's solid stone.

language observation:
dark area far north and northeast
boulders far eastnortheast
stairs up near northnortheast
boulder near eastnortheast
boulder very near northnortheast
dark area adjacent southeast, south, southwest, west, and northwest

cursor:
Yourself a caveman
(x=26, y=14)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                          ..................}                                   
                          .<........` ......}                                   
                          ..................}                                   
                          ..................}                                   
                          .`................}                                   
                          ...`.....` .......}                                   
                          @.................}                                   
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Troglodyte           St:18/01 Dx:12 Co:16 In:9 Wi:12 Ch:7 Neutral S:0 
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:8 Xp:1/0                                        

",-0.01,False
